id,Name,Level,AP,Cost,Power,Element1,Element2,Range,Size,Area,Card Type,Details,abilities,Rarity
AS21,Echo Blast,4,12,3,3,SPIRIT,SPIRIT,4,1,Single,Black Aura,If Echo Blast Deals Damage to a Player you may Return an Aura from your Discard Pile to Charge 3.,,R
AS22,Joint Aureole ,4,17,2,4,SPIRIT,SPIRIT,4,5,Area,Black Aura,"When Joint Aureole enters the field, move an Aura from your Charging Line to Standby.",,C
AS23,Spirit Rush,4,13,5,3,SPIRIT,SPIRIT,6,1,Ray,Black Aura,"Spirit Rush cannot be destroyed be Equipment Effects.
Spirit Rush can only be played from the Discad Pile or Charged Deck.",,C
AS24,Aurora,4,16,4,0,SPIRIT,SPIRIT,3,6,Area,Black Aura,Aurora's Power is equal to the number of different Energy types you have produced this Round.,,C
AS25,Star Pendant,3,20,5,-,SPIRIT,SPIRIT,1,1,Single,Equipment,Auras with Transfer you Control can switch with cards in the Discard Pile.,,C
AS26,Schism Scepter,4,26,3 Hp.,-,SPIRIT,SPIRIT,2,1,Single,Equipment,Dualcast 2: Choose a card from Target Player's Discard Pile and send it to the bottom of their Deck.,,U
AN01,Move,2,1,0,-,NONE,NONE,1,1,Single,Movement,Move 1 in any direction.,,
AN02,Leap,2,3,0,-,NONE,NONE,2,1,Ray,Movement,Move 2 in one direction.,,
AN03,Dodge Roll,2,7,1,-,NONE,NONE,3,1,Ray,Movement,Move 3 in one direction.,,
AN04,Blink,2,4,0,-,NONE,NONE,2,1,Single,Movement,Blink is not affected by height or abilities.,,
AN05,Charge,2,7,1,-,NONE,NONE,2,1,Ray,Movement,"If you end next to a unit, that unity Discards a Card.",,
AN06,Stutter,0,-4,1,-,NONE,NONE,0,1,Single,Movement,Trigger the effects of the Tile you are on.,,
AF27,Firewheel,2,1,1,-,FIRE,FIRE,1,1,Single,Movement,Burn your current tile.,,
AW27,Liquidate,2,3,1,-,WATER,WATER,x,1,Single,Movement,Move to any Swamped tile..,,
AE27,Pillar Jump,2,2,1,-,EARTH,EARTH,1,1,Single,Movement,"Move 1 in any direction, regardless of height.
Raise the tile you were on.",,
AA27,Levitate,2,3,1,-,AIR,AIR,2,1,Single,Movement,"Move 2 in any direction.
Is not affected by tile abilities or height.",,
AL27,Impel,2,6,1,-,LIGHT,LIGHT,1,1,Single,Movement,"Move 1 in any direction.
Draw !A0!.",1,
AD27,Scramble,2,3,1,-,DARK,DARK,1,1,Single,Movement,"Move 1 in any direction.
Discard 1: Increase Move by !A0!.",4,
AT27,Switch,2,4,1,-,TIME,TIME,x,1,Single,Movement,Move to the last tile you affected with an Aura this Round.,,
AS27,Flutter,2,1,1,-,SPIRIT,SPIRIT,1,1,Single,Movement,"Move 1 in any direction.
Gain 1 Energy of an element of your choice.",,
